vocab,x,y
फिल्म,1.5643140702556475,-1.7726819176441686
रिलिज,1.859784563807267,0.44136127543640385
मिति,1.2067246017392348,0.5768037380307164
दिएको,-0.20568863805324245,0.6463300069438109
शनिबार,3.748835005298914,1.5074461332309967
आइपुगेको,0.6239968552075605,-0.1479375857817439
फिल्मको,1.5342104776601038,-1.0352926071415396
निर्माता,2.732112623103035,0.8384191330924073
कलाकारको,1.3125663207492684,-0.9863134589264743
टोलीले,2.624087730996478,1.5395331846508769
रहे,0.961481323003814,-1.1023138687389709
निर्माण,-0.7999841431310827,3.5792103383120697
बताए,0.06381813218598287,1.8303547596538792
देश,-0.7478374097151081,-1.5576014034359806
टोली,3.1346690618072097,0.7456118590366765
पोखरा,1.7497052484352,2.0400494663263036
बुटवल,1.1015283366142083,1.5764073298740042
आयोजित,5.811452654699228,2.323965916901713
अभिनेता,3.2962301456835124,-1.1135401142365384
अभिनेत्री,3.1010002282313898,-1.2054234948889593
अधिकारीले,1.6105083723882845,0.8795803426578424
राख्ने,-1.6475479496518897,-0.8921402944597148
भूमिकामा,1.4335878286128247,-1.7302816661002156
बताइन्,-0.3657295626604127,-0.1660890454056014
कलाकार,3.137957220726264,-1.4233682745407392
पौडेलले,2.521546367608499,0.1689255188326395
महिना,0.4265340745172056,1.0820720795574443
गर्दा,-1.5944552075523934,-0.12024068376159801
बिरामी,-1.1420947044779814,-0.5051307354301666
परेको,-0.5157436460539595,-0.2277288410019187
लाग्छ,-1.6262746339427299,-2.68003991622452
रमाइलो,-1.0367586981919688,-2.3025112196036464
फिल्ममा,2.519070702023143,-3.00097580398225
सन्देश,-0.7606367757652558,-1.4509289362811235
हुँदैन,-3.1210307351110855,-1.9606090719253295
खोज्ने,-1.4255471277009835,-1.7514569240239506
निर्देशन,0.8282899940841078,1.5124149959878364
शाही,2.641187713265041,-0.35436737406260965
अधिकारी,3.2695963247922704,0.9904478234289495
बराल,1.0943463851936157,-0.9993421163640712
खड्का,5.085239632152709,-0.7198985468215233
लगायतको,1.0570106765251175,0.48551255182437103
अभिनय,2.16316349170234,-2.4162578397681322
फिल्मलाई,0.8593109974323409,-0.5772643728998387
शेर्पा,4.015486311938794,-0.5365258129658252
लामा,4.17348058136103,-0.17092703297125356
शेर्पाले,1.7491989995774393,0.14813475624483669
काठमाडौं,2.377862649769596,1.9196870261048216
नाटक,0.8396880096841445,-1.5964292435769156
सुरु,0.45455733703027246,1.4642972979946047
निर्देशित,1.4736973322428693,-0.7343042652193544
स्कुलमा,-0.17879415412277,-0.21124358582945554
कक्षा,0.07181654343820716,1.6399271904890296
संस्था,-0.08124328312075177,2.0069594355992977
संयुक्त,3.145225927471701,2.32314372503053
रूपमा,-0.2997959550620952,-0.07889028413295665
शुक्रबार,4.015109042622512,2.057654703544141
गरिएको,0.33213358383561226,2.7155683456578292
क्षेत्र,-0.5249568462793546,2.901025372023211
नं,2.6284556674526627,2.9164524859990015
.,1.4352797623434612,0.7778084145548358
सांसद,3.110662788984251,-0.18226738412836258
थापा,5.443373745306559,-0.23986788446227303
विभिन्न,-0.15345878960730736,2.3270414395342405
पत्रकार,4.707727593092926,1.2904213524967882
शिक्षक,-0.13816591237936574,0.8940987199334025
अभिभावक,0.09127307244518901,-0.3761140802222522
विद्यार्थीको,-0.9621549860290088,1.046460625066501
उपस्थिति,0.5802898809782006,0.12796085100038895
एउटा,-0.08660306372373133,-0.8875533116363499
बानी,-1.144888462753082,-1.729857365382443
विषय,-0.9470389788102436,-1.2718600138022502
बनाएको,-0.18081392113434472,0.360181846394333
बालबालिकालाई,-1.4896368552514616,0.9616560889449031
गाली,-0.4774603488483645,-2.2662347955208184
नगरी,-1.5082508387843792,-0.22950526948987865
माया,-0.0708307568585059,-2.9133448548624026
बुझाउन,-1.084160967659832,-0.38586015934567536
राख्न,-2.3770122220248684,-0.5683544196405301
सकिन्छ,-3.4580566285156413,-0.7850321976070653
पक्षलाई,-1.1176005361789585,-0.6249459351241975
देख्दा,-0.930209496519947,-2.487996966597393
दर्शक,0.3521647335411113,-1.0491824452016052
विद्यार्थीले,-0.6228588822880624,0.3488148726329307
महिलाको,-0.8719572282168225,-1.011591907312749
राजनीतिक,-0.5772935634794147,-2.023861129722176
हुन्छन्,-1.7454461347003662,-1.6103399071063964
की,0.6881042480087463,-1.508326955702243
उपहार,0.46808660270870794,0.2181039947661796
न्याय,-1.2388781319241597,-1.064879246079129
गरेकी,2.3256373031648416,-1.1128054847772748
छिन्,1.7478027978999973,-1.7748540218325473
हेर्दै,0.2882392347413365,-1.7685142641846128
उनी,0.9089313465551023,-1.7909401542647818
लाग्दैन,-1.8094410214668957,-2.354391275229497
त्यसैगरी,0.598309231903815,2.2768680609154206
देखिने,-0.9869945008508803,-0.8908926627562916
फरक,-1.43760837807383,-2.2738532021818028
बनाउन,-1.629570761753142,0.8534056712222257
सफल,0.48756605043242685,-0.788565322018343
